contrast,progress_bin,medication,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication
ASD / CTRL,18,BOTH,0.8478456557589223,0.2863839214781144,Inf,1,-0.4886537604677859,0.6250868452217805,,18_BOTH
ASD / CTRL,19,BOTH,1.035931108337339,0.35211687620616033,Inf,1,0.10385482097893105,0.9172845607893397,,19_BOTH
ASD / CTRL,20,BOTH,0.9951020815371768,0.33893343385823077,Inf,1,-0.014415526887631862,0.9884984720123671,,20_BOTH
ASD / CTRL,01,NAL,0.8559432020401349,0.29405968206123245,Inf,1,-0.45277557517679407,0.6507103530930247,,01_NAL
ASD / CTRL,02,NAL,0.763670891122937,0.26737516730959404,Inf,1,-0.7700778283940829,0.4412537270817135,,02_NAL
ASD / CTRL,03,NAL,0.6767909053005519,0.23657810558347792,Inf,1,-1.1168166613128572,0.26407272344788163,,03_NAL
ASD / CTRL,04,NAL,0.7997272590064614,0.28018243901290507,Inf,1,-0.6378939229136409,0.5235427339326664,,04_NAL
ASD / CTRL,05,NAL,0.7373554799394596,0.2573849719615203,Inf,1,-0.8728609039707499,0.38273889827397006,,05_NAL
ASD / CTRL,06,NAL,0.5763816476740727,0.20126347227603494,Inf,1,-1.5779206504248318,0.1145838402367975,,06_NAL
ASD / CTRL,07,NAL,0.8920676590165033,0.31144451028836867,Inf,1,-0.32714010468563387,0.7435619199715255,,07_NAL
ASD / CTRL,08,NAL,0.8409151002245597,0.29497891309389,Inf,1,-0.4939363156373222,0.6213511562234043,,08_NAL
ASD / CTRL,09,NAL,0.6969981771044111,0.24312047933410982,Inf,1,-1.0348661853678318,0.30073140834333567,,09_NAL
ASD / CTRL,10,NAL,0.6803853091576482,0.23762515747565308,Inf,1,-1.1026343789524873,0.2701859743045159,,10_NAL
ASD / CTRL,11,NAL,0.8907339750444877,0.3171875748422542,Inf,1,-0.32493817520869805,0.7452278636177646,,11_NAL
ASD / CTRL,12,NAL,0.8667065931742479,0.3037630637297616,Inf,1,-0.4081685104256662,0.683149964930404,,12_NAL
ASD / CTRL,13,NAL,0.9859657706389241,0.34337202335571504,Inf,1,-0.04058363716343153,0.9676278290613471,,13_NAL
ASD / CTRL,14,NAL,0.6873412107526644,0.23857241635499665,Inf,1,-1.0801794442369326,0.28006228014615336,,14_NAL
