contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,11,NAL,f,0.6985824742148558,0.3315377625532762,Inf,1,-0.7558202493788881,0.4497569742960302
ASD / CTRL,12,NAL,f,0.6253015534731368,0.296902691982851,Inf,1,-0.9888504928520181,0.3227362956296339
ASD / CTRL,13,NAL,f,0.582405410882659,0.2764074692292095,Inf,1,-1.139049040086294,0.25468270061035053
ASD / CTRL,14,NAL,f,0.5469082192140056,0.2601625867342857,Inf,1,-1.2686107098040296,0.20457994266119114
ASD / CTRL,15,NAL,f,0.45793896298827796,0.21753242158399413,Inf,1,-1.644165034507645,0.10014211730231129
ASD / CTRL,16,NAL,f,0.5138902474082265,0.24343367106356467,Inf,1,-1.4053937175910904,0.15990423386316185
ASD / CTRL,17,NAL,f,0.46752747637823433,0.2218335969920968,Inf,1,-1.6023714029557274,0.1090735046698286
ASD / CTRL,18,NAL,f,0.4703439067355207,0.2231239851229875,Inf,1,-1.590040798354202,0.11182560904493406
ASD / CTRL,19,NAL,f,0.43763584247220394,0.20714671636773763,Inf,1,-1.7458558678184415,0.08083600017260659
ASD / CTRL,20,NAL,f,0.40349961526837047,0.19234179718223618,Inf,1,-1.9039443490720696,0.05691743237703863
ASD / CTRL,21,NAL,f,0.485647213206915,0.23064447510294822,Inf,1,-1.5208245538981597,0.12830387094063572
ASD / CTRL,22,NAL,f,0.4945941650117086,0.23407238829823426,Inf,1,-1.4875870647428888,0.13685982681341238
ASD / CTRL,23,NAL,f,0.6476873606198494,0.3066696168329254,Inf,1,-0.9173428174724432,0.3589630270199233
ASD / CTRL,24,NAL,f,0.5880410674844136,0.27903653009547985,Inf,1,-1.1189409417091951,0.26316533505651785
ASD / CTRL,25,NAL,f,0.5823255488090934,0.27674345705871756,Inf,1,-1.1377987032637202,0.2552045465778378
ASD / CTRL,26,NAL,f,0.6073125427228033,0.2892751932641575,Inf,1,-1.047009531597072,0.2950951821189679
ASD / CTRL,27,NAL,f,0.62987680945756,0.3003689313503958,Inf,1,-0.9693033108826425,0.33239387785182944
ASD / CTRL,28,NAL,f,0.9044652003758972,0.4314595623505338,Inf,1,-0.21049171012432027,0.8332839210995955
ASD / CTRL,29,NAL,f,0.8491753285895691,0.4015416153174879,Inf,1,-0.3457458238313221,0.7295337431576221
ASD / CTRL,30,NAL,f,0.8068044895393021,0.3815572115989199,Inf,1,-0.45392897246454844,0.6498799497892942
ASD / CTRL,31,NAL,f,0.7924612469318854,0.37285575494410383,Inf,1,-0.4943888754313701,0.6210315690111264
ASD / CTRL,32,NAL,f,0.6865829314457003,0.32304625568434475,Inf,1,-0.7991876674104835,0.4241816018568818
ASD / CTRL,33,NAL,f,0.6841713984666992,0.32292317808305326,Inf,1,-0.8041388464501172,0.42131679185313076
ASD / CTRL,34,NAL,f,0.7009842140279613,0.33007169336529296,Inf,1,-0.7544985063245482,0.45054994193568104
ASD / CTRL,35,NAL,f,0.7361205232242227,0.3463752393716213,Inf,1,-0.6510827063284271,0.5149930993485929
ASD / CTRL,36,NAL,f,0.7375128245350444,0.3453234937957119,Inf,1,-0.6502652223544068,0.5155209174008377
ASD / CTRL,37,NAL,f,0.746823671764111,0.3496784603037342,Inf,1,-0.6234795650256462,0.5329694268261629
ASD / CTRL,01,OXT,f,0.48805813810108234,0.2246467522625357,Inf,1,-1.5584210481065448,0.11913347032091118
ASD / CTRL,02,OXT,f,0.5379773027732325,0.2486168002887689,Inf,1,-1.3414743539035088,0.17976649091799946
ASD / CTRL,03,OXT,f,0.5174333735559458,0.24016662534257824,Inf,1,-1.4195297094050383,0.15574464165760735
ASD / CTRL,04,OXT,f,0.5631234799099145,0.2614118024384066,Inf,1,-1.2370414463290043,0.21607169601484794
ASD / CTRL,05,OXT,f,0.7005702147621206,0.3255948690435958,Inf,1,-0.7656920266044508,0.44385957246241625
ASD / CTRL,06,OXT,f,0.6265886074872302,0.2906010103475279,Inf,1,-1.007939698815582,0.313483411901459
ASD / CTRL,07,OXT,f,0.5084613428697952,0.23596476337458858,Inf,1,-1.457446461903493,0.14499317973774992
ASD / CTRL,08,OXT,f,0.4948525028814718,0.2296510817014648,Inf,1,-1.5158932567579637,0.12954634568510642
ASD / CTRL,09,OXT,f,0.45826815882312644,0.21116749254185505,Inf,1,-1.6933808860925303,0.09038299072893374
ASD / CTRL,10,OXT,f,0.4549319130744488,0.2102964630243226,Inf,1,-1.7038222488746133,0.08841430007861428
ASD / CTRL,11,OXT,f,0.5161235645741239,0.23851357734627174,Inf,1,-1.4312342874291657,0.15236307988657677
ASD / CTRL,12,OXT,f,0.481454557399546,0.22259646432133895,Inf,1,-1.580959726096266,0.11388724657361611
ASD / CTRL,13,OXT,f,0.5977168484024952,0.2806577102865579,Inf,1,-1.0960250609157889,0.27306780741227343
ASD / CTRL,14,OXT,f,0.6090618626277756,0.28545735519904886,Inf,1,-1.0579319417124484,0.29008647155550377
ASD / CTRL,15,OXT,f,0.7202208384550925,0.3391106938199352,Inf,1,-0.6970426074401421,0.4857761297066114
ASD / CTRL,16,OXT,f,1.4412328240956809,0.6987487586653337,Inf,1,0.7538746502565213,0.4509244935533967
ASD / CTRL,17,OXT,f,1.2641285221304246,0.6017849123265969,Inf,1,0.4923523184486543,0.6224703005823162
