contrast,progress_window,medication,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,05,PLA,1.6999046079630271,0.5321095343390077,Inf,1,1.6949931574816925,0.09007671882511259
ASD / CTRL,06,PLA,1.8706527096018049,0.588591372138464,Inf,1,1.990457727893735,0.046540536159562794
ASD / CTRL,07,PLA,1.845781700917936,0.5784108392981191,Inf,1,1.95585011935863,0.050482812766895
ASD / CTRL,08,PLA,2.0598603966990825,0.651765345075931,Inf,1,2.283849310347133,0.02238038853879227
ASD / CTRL,09,PLA,1.6417105175752595,0.516958720480961,Inf,1,1.5743218951196836,0.11541305039500001
ASD / CTRL,10,PLA,1.62377243897044,0.5115150144227336,Inf,1,1.5388152658823069,0.12384940191157709
ASD / CTRL,11,PLA,1.7983856011518853,0.5686732475093819,Inf,1,1.8559927070030597,0.06345459757943248
ASD / CTRL,12,PLA,2.1315738910794724,0.6767919390946876,Inf,1,2.3837523021126854,0.01713713275542884
ASD / CTRL,13,PLA,2.409557665402427,0.76620426195857,Inf,1,2.7656712228659455,0.0056805774668614115
ASD / CTRL,14,PLA,1.9459497539450221,0.6116178177867548,Inf,1,2.118179570159445,0.03415986271286589
ASD / CTRL,15,PLA,1.8837423424111701,0.6026188817061153,Inf,1,1.9795254953490655,0.04775687205993056
ASD / CTRL,16,PLA,1.65159686346273,0.5254616016982747,Inf,1,1.5770448840986593,0.11478519776169518
ASD / CTRL,17,PLA,1.6005357151575004,0.5117462243822611,Inf,1,1.471028732263245,0.14128334673640758
ASD / CTRL,18,PLA,1.762488617839005,0.5632327233632712,Inf,1,1.7734224042255655,0.07615873926143965
ASD / CTRL,19,PLA,1.256963477328096,0.40038293763407323,Inf,1,0.7179779770827442,0.47277086600162876
ASD / CTRL,20,PLA,1.702039012262477,0.5416136057832244,Inf,1,1.6712841207087372,0.09466557140810171
ASD / CTRL,21,PLA,2.0377102769948983,0.6436182533527834,Inf,1,2.253660000128297,0.024217565581801253
ASD / CTRL,22,PLA,1.809419814703444,0.5680010056803725,Inf,1,1.8890763350967765,0.0588816009123214
ASD / CTRL,23,PLA,1.4769876315678827,0.47060784262221234,Inf,1,1.224017030406696,0.22094580308377135
ASD / CTRL,24,PLA,1.3814045509956416,0.44159643673318905,Inf,1,1.010725721378817,0.31214772276239217
ASD / CTRL,25,PLA,1.4188441510463896,0.45713693284897705,Inf,1,1.0858279811500635,0.27755510441089754
ASD / CTRL,26,PLA,1.1919147338479479,0.3819965054987787,Inf,1,0.547789783924241,0.5838362541724751
ASD / CTRL,27,PLA,1.3929787727960226,0.4440146703071754,Inf,1,1.0398194535530825,0.29842378933474956
ASD / CTRL,28,PLA,1.4780492999750467,0.47364999744548025,Inf,1,1.2192718729100767,0.222741020521505
ASD / CTRL,29,PLA,1.547833689747181,0.49377548939820143,Inf,1,1.3694097127195428,0.1708712398778113
ASD / CTRL,30,PLA,1.7916956547867735,0.5722823947048042,Inf,1,1.8257588623748542,0.06788659237937353
ASD / CTRL,31,PLA,1.8651069652556216,0.596025513164665,Inf,1,1.950512979640381,0.05111500787434412
ASD / CTRL,32,PLA,1.805058830264168,0.5780955540938789,Inf,1,1.8440817174266464,0.06517123191582949
ASD / CTRL,33,PLA,1.8146128553675644,0.578780298087864,Inf,1,1.8681998209838742,0.06173422374326715
ASD / CTRL,34,PLA,1.8100610015413956,0.5807633810486297,Inf,1,1.849322497632159,0.06441125905047602
ASD / CTRL,35,PLA,1.5754203884228948,0.5035301359221325,Inf,1,1.422086606007995,0.1550011105890176
ASD / CTRL,36,PLA,1.6652341199786682,0.533787622181062,Inf,1,1.590917982942534,0.11162803492641397
ASD / CTRL,37,PLA,1.8676888841957837,0.6018920763910474,Inf,1,1.938468054678539,0.05256614457260508
