model,contrast_family,fix,AQ_z.trend,std.error,df,statistic,p.value,Sex,medication,p_display,sig,significant_0_05,trait,selected_model,SIAS_z.trend
SIAS_main_analogue,trait_slope_by_aoi_medication,Mouth,NA,0.129496718610076,Inf,0.09198918069695168,0.9267066356962625,NA,PLA,0.927,,FALSE,SIAS,main_analogue,0.011912297047884587
SIAS_main_analogue,trait_slope_by_aoi_medication,Face,NA,0.11517282074662204,Inf,-0.4795720221477467,0.6315317443793492,NA,PLA,0.632,,FALSE,SIAS,main_analogue,-0.055233662541917486
SIAS_main_analogue,trait_slope_by_aoi_medication,Background,NA,0.10980726707346154,Inf,1.1750921607053484,0.23995784662242137,NA,PLA,0.240,,FALSE,SIAS,main_analogue,0.1290336587265032
SIAS_best_aic,trait_slope_by_aoi,Eyes,NA,0.05758324221310222,Inf,-1.3865904431681018,0.1655666841207689,NA,NA,0.166,,FALSE,SIAS,trait_aoi,-0.07984437333932155
SIAS_best_aic,trait_slope_by_aoi,Mouth,NA,0.06818227531858409,Inf,0.09145936108735014,0.9271275960064675,NA,NA,0.927,,FALSE,SIAS,trait_aoi,0.0062359073381195035
SIAS_best_aic,trait_slope_by_aoi,Face,NA,0.05985258594095546,Inf,-1.4582572528344244,0.1447696481160093,NA,NA,0.145,,FALSE,SIAS,trait_aoi,-0.087280467549294
SIAS_best_aic,trait_slope_by_aoi,Background,NA,0.05727978273720047,Inf,3.122209530697622,0.001794991369065895,NA,NA,0.002,**,TRUE,SIAS,trait_aoi,0.17883948357837642
SIAS_best_aic,trait_slope_by_aoi_sex,Eyes,NA,0.05758324221310222,Inf,-1.3865904431681018,0.1655666841207689,f,NA,0.166,,FALSE,SIAS,trait_aoi,-0.07984437333932155
SIAS_best_aic,trait_slope_by_aoi_sex,Mouth,NA,0.06818227531858409,Inf,0.09145936108735014,0.9271275960064675,f,NA,0.927,,FALSE,SIAS,trait_aoi,0.0062359073381195035
SIAS_best_aic,trait_slope_by_aoi_sex,Face,NA,0.05985258594095546,Inf,-1.4582572528344244,0.1447696481160093,f,NA,0.145,,FALSE,SIAS,trait_aoi,-0.087280467549294
SIAS_best_aic,trait_slope_by_aoi_sex,Background,NA,0.05727978273720047,Inf,3.122209530697622,0.001794991369065895,f,NA,0.002,**,TRUE,SIAS,trait_aoi,0.17883948357837642
SIAS_best_aic,trait_slope_by_aoi_sex,Eyes,NA,0.05758324221310222,Inf,-1.3865904431681018,0.1655666841207689,m,NA,0.166,,FALSE,SIAS,trait_aoi,-0.07984437333932155
SIAS_best_aic,trait_slope_by_aoi_sex,Mouth,NA,0.06818227531858409,Inf,0.09145936108735014,0.9271275960064675,m,NA,0.927,,FALSE,SIAS,trait_aoi,0.0062359073381195035
SIAS_best_aic,trait_slope_by_aoi_sex,Face,NA,0.05985258594095546,Inf,-1.4582572528344244,0.1447696481160093,m,NA,0.145,,FALSE,SIAS,trait_aoi,-0.087280467549294
SIAS_best_aic,trait_slope_by_aoi_sex,Background,NA,0.05727978273720047,Inf,3.122209530697622,0.001794991369065895,m,NA,0.002,**,TRUE,SIAS,trait_aoi,0.17883948357837642
